,Narratives,Synopsis
51,"after being clred for tkof on rwy 24r at lax, experienced an overheat warning (area j) on a wdb. both overheat loops indicated an overheat, the area was isolated pneumatically. the acft was taxied back to the gate for maint action. the overheat condition lasted for 2 to 3 minutes after area was isolated. note: the tkof roll was never initiated, however since the acft was already on the rwy and there was an acft on final apch, the taxi off the rwy was expedited and lax twr rpted it as an aborted tkof. the acft on final did not have to initiate a go around. callback conversation with rptr revealed following info. area j is on hot section of the #2 eng. maint found ruptured ducting causing the overheat. acft out of svc for 24 hours and the flt was cancelled. has heard other carriers have had similar incidents on this wdb.",overheat in the number 2 engine result in abort tkof and acft out of service for ruptured duct.
52,"the captain was the pilot flying and i was the pilot not flying on this particular leg. after tower cleared us for takeoff, the captain advanced the power levers to the normal takeoff position and we began our roll down the runway. as the power levers were set, the overspeed warning horn came on and the captains altimeter flagged and displayed an altitude of 60,000 ft. in addition, the vertical speed indicator fluctuated between an excessive climb and an excessive descent. upon detection of the issue, we decided to reject the takeoff and notify atc of the rejection. as we taxied back to the gate, the overspeed warning horn continued to go off. as soon as we arrived back at the gate, the captain contacted operations to notify them of the rejection, and then proceeded to contact maintenance. in the meantime, we were instructed to deplane the passengers, and proceeded to do so. shortly after, we were assigned a new aircraft to complete our flight.","dhc100 first officer reports a rejected takeoff after the captain's ias overspeed warning sounds and his altimeter shows 60,000 ft. during the taxi back to the gate the overspeed warning continues to sound."
53,"for apch was on a ne operation when i began working w/s feeder combined. commuter x departed orf from rwy 5 and was turned wbound by the dep ctlr, then handed off to me. x had a route of orf hcm at 70, so i coordinated with the n/e/feeder ctlr who was in the process of splitting the 2 positions. i verified that he had the pointout on x clbing to 70 as he was to be the east feeder ctlr and handed x off to the n ctlr level at 70. dep ctlr 2 only owns sfc to 40 on the ne operation and sfc to 50 w, so he would not be affected. at some point thereafter orf apch changed to a sw operation, and the supvr on duty says he made a blanket broadcast. however, i never heard him and therefore did not know. the dep 2 ctlr then had a flt of 4 fgt's dep lfi on rwy 26 and turned them right to ne, clbing to 11000'. although there was course divergence sep as stated in the 710.65, the plt of x saw the fgt's and commented something to the effect of, \do you have any more of them coming off?\ acft x at 7000' had not been pointed out to the dep 2 ctlr by me since we were on a ne operation earlier, and i didn't know we had changed operations. at 70 x was then in his airspace on the sw operation. the 4 fgt's were ifr, nebnd.",commuter acft x was allowed to fly through another tracon position airspace without coord or radar handoff. commuter x saw flt of 4 fgt acft. not sure if operational deviation or operational error.
54,"upon completion of preflight, my first officer informed me that our aircraft was lacking textual [lettering] rvsm area markings. he also informed [me] that several months ago he had encountered a similar situation and had been told by maintenance that these markings were not required. however, the first officer showed me photos of the b767 parked at the gate next to us. that airplane had those [rvsm] markings. we inquired maintenance regarding the legality of this, and were told we better make a write-up. the mechanic who showed up in the cockpit was not certain if this was deferrable. instead of deferring this item, maintenance literally brought out a ladder and a marker pen and by hand added the text to the sides of the aircraft.     given this, it seems to me that perhaps this text is indeed required for dispatch in rvsm airspace? if so, i and countless other company pilots may have inadvertently been flying b767s and/or b757s in our air carrier fleet that are missing required markings. since i rarely do preflights, i do not know if i have flown such aircraft. i do know that i have flown this particular aircraft in recent past. however, i obviously do not know if this aircraft, at that time, was lacking these markings. therefore, i am filing this report as a disclosure that i today found out that i may, or may not, have flown company aircraft inadequately marked and possibly illegally dispatched.","a b767-300 captain was informed by first officer their aircraft was lacking textual rvsm area markings. questions with maintenance, whether or not the rvsm area markings were deferrable, or required for dispatch, remained unclear."
55,"other acft vfr below smt and clbed into smt's alt, reason unknown. when other acft was sighted, both acft were level at same alt, hdg 180 deg, in opp directions. smt was ifr flt plan imc to vfr conditions at time of occurrence. other acft was vfr. other acft did not have legal cloud clrnc.",night operation encounter sma flying wrong alt vfr not clear of clouds.
56,"normal taxi out and line up on runway. normal takeoff roll up to 100 kts call. at same time or just after 100 kts call, eicas ed1 displayed \ib spoilers\ and \ib flt spoilers\ caution messages accompanied by \caution chime\. captain called \abort\ and i notified atc of abort. we turned off at taxiway c. held position while captain notified passengers and flight attendants of situation and to remain seated. coordinated return to gate with ground control and company.    maintenance personnel ran tests and determined the pcu was bad and needed to be replaced.,during the takeoff roll just at 100 kts call, \ib spoilers\ and \ib spoilerons\ message appeared. message was evaluated and because of an unusual control feel (right wing spoiler was in the uncommanded full up position) an abort was accomplished. atc, flight attendant, and passengers were advised and we returned to the gate. after seven hours, flight was canceled (passengers had been rerouted shortly after return to gate). maintenance was able to duplicate the problem and i made 2 write ups, one for the messages and another for the high speed abort inspection. maintenance determined a pcu problem and replaced the pcu for the fix.",crj900 flight crew received an eicas caution message for \ib spoilers\ and \ib flt spoilers\ at 100 kts during takeoff and rejects. the roll control pcu was found to be jammed with the right wing inboard spoiler in the uncommanded full up position.
57,"we were 1,000 ft above level off for the 12,000 ft restriction on the arrival. off flags appeared in the captain's adi and hsi, accompanied by a master caution, autopilot disconnect and efis comp messages. i immediately assumed manual control referencing pfd 2. i leveled off at 12,000 ft and cross checked the standby instruments and outside references. they seemed okay initially. the first officer noticed that there was an yd1 inop message and reset that. there were also roll and heading comparator flags in pfd2. i maintained wings level briefly to see if the ahrs1 would in flight align. the first officer noted a 30 degree anomaly between both heading systems and the standby compass. i confirmed this, took the radios and called for the efis comp mon checklist. after what seemed like more than a minute ahrs1 in flight aligned. there was still an efis comp message with roll and heading comparator flags in both pfd's. the frequency was congested and the situation dynamic so i did not call atc right away. i noticed that we were slightly right of course and made a shallow left turn to intercept course. i continued to fly cross cockpit and noticed that adi2 showed level flight while the aircraft was in nearly 10 degrees of right bank. this was confirmed with a careful cross check of the standby adi and outside references. it seemed unbelievable to me but in fact it was true. because of this discrepancy, i elected to not call for the qrh procedure for ahrs1 failure. this would only send this incorrect roll information to adi1. approach queried us about our speed. at this point i remembered that the last controller had assigned 300 kts. i reported our actual speed of 250 kts and added power. i also advised approach that our primary attitude and heading instruments had failed and that we were on the standby systems. i requested radar vectors. atc issued an altitude change to the jet coming up behind us. he promptly complied. atc assigned several incremental heading changes to put us on downwind. once we were wings level on downwind we accurately adjusted both heading systems to the standby compass. after a minute of wings level flight on downwind both ai's also crosschecked wings level with the standby adi and outside references. i switched to fd2 and engaged the autopilot. we monitored the systems closely. the remainder of the flight was uneventful. maintenance found no discrepancy but the subsequent flight experienced a loss of pfd1 at 300 ft on final approach. that one cleared at touchdown and resulted in replacement of ahrs1. the autopilot and pilot flying's instruments shutting off just before level off with several messages to sort through. a marked difference between the remaining instruments; i think we all did our best under the circumstances. in 30 years as a pilot this is the first \dual adi failure\ i have had, if you can call it that. i am not sure why ad2 was off slightly but the equipment proved its ability to in flight align. the only thing i would bring up is that the qrh is incomplete. it does not include the in flight alignment procedure described in the prm. good luck making that happen. in the mean time i hope the detailed info in this report of a successful in flight alignment will be shared with my fellow rj pilots.","a crj200 captain reported a dual ahrs failure during descent including the efis comp message, adi and hsi off flags. the efis comp mon checklist was completed and the system reset before landing, but failed on the next flight and ahrs 1 was replaced."
58,we taxied into position for takeoff. after advancing the power levers for takeoff the inboard and outboard roll spoiler caution lights illuminated. we advised atc and taxied off the runway and called dispatch.,dhc100 first officer reports inboard and outboard roll spoiler caution lights as the power levers are advanced for takeoff. flight returns to the gate.
59,"at vr (153 kts), we encountered a significant jolt similar to an engine seizure, but was in fact wake turbulence from the md-80 that was on upwind. our aircraft swiftly shifted right then left as i began rotating with both main gears still on the runway. i continued the rotation and climb and we experienced one other, albeit much less significant, wake turbulence roll encounter. dfw tower was using the all too common technique of clearing one aircraft to take-off while the preceding aircraft has yet to rotate, using the absolute minimum standard of separation and requesting visual contact by the pilot (also used regularly at las and phx to name a few). i believe that controllers have been misled to believe that if the aircraft ahead of you is of the same class, that you will not encounter wake turbulence. this is simply not the case, especially when the aircraft ahead of you is out-climbing you, which was our situation as we were near our maximum take-off weight. i am thankful that my main landing gear will still on the runway, as our experience could have been quite different had we just left the runway and experienced a roll event so close to the ground. i do not believe this technique to be acceptable nor safe and will no longer report the preceding aircraft in sight in order to get proper separation.",a b737-400 captain encountered wake turbulence at vr from the preceding md-80. the captain feels atc procedures are a factor in encounters like these.
60,"the first officer performed the cruise checklist when directed to. he noticed the differential pressure to be about 5.5 psi and the cabin altitude climbing past 10,000 ft at fl240. with no master warning or warning light we descended to fl200. the differential pressure lowered and the cabin altitude read below 8,000 ft.","dhc8-100 captain experiences a high cabin altitude at fl240 with no associated cabin altitude warning. flight descends to fl200 and cabin altitude descends below 8,000 ft."
61,"while conducting a captain proficiency check, a blue eicas system status message \hyd main pmp inop\ was displayed on the eicas after the execution of a simulated single engine missed approach. i immediately discontinued the check ride, instructed the captain as the pilot flying to fly visually to the northwest practice area, that he had the use of the both engines, while i remained pilot not flying and consulted the qrh. since this message is only advisory in nature the do-328 qrh only lists what the message means and offers no course of action to follow. on the hyd system page of the mfd a blue \inop\ was listed near the main pump with hydraulic pressure of approximately 2900 psi being delivered by the dc standby pump. once clear of controlled airspace i asked the captain to climb above 5,000 ft and maintain terrain clearance. i then extended the landing gear normally and then the flaps to 32 degrees. after completing the descent and approach checklists i asked the captain to turn back towards the airport, contacted the tower and requested a full stop landing when we were 12 miles north of the field. the landing checklist was completed and nws and anti-skid systems were available normally. captain landed with no other anomalies.    i used my best judgment and systems knowledge to deal with the situation at hand, i recognized that the dc hydraulic pump could deliver sufficient pressure to operate the roll spoilers, flaps, nws, and wheel brakes (including anti-skid). this blue advisory (non warning, non cautionary) message should not be displayed in-flight. further review of this advisory message being displayed in flight should be conducted.",do328 check airman reports a blue eicas system status message \hyd main pmp inop\ during a simulated single engine go around. the flight eventually returns to the departure airport for an uneventful landing but the reporter questions why this eicas message should be displayed when no crew action is required.
62,"i had just completed administering a line chk to one of our capts on the previous 2 legs. i was flying the last leg. i copied the clrnc and when he returned to the acft i had not yet selected the sid from the charts. my f/o chked the clrnc, selected the sid and we discussed it. the wx conditions included winds gusting to 30 kts and low level wind shear which was rpted by several acft. since my f/o had operated out of this arpt for almost 2 yrs he was very familiar with it. the alt alerter was set to 3000' and we made every effort to stay s of a radial which is depicted on the chart as a northern boundary for the turn. having done everything correctly we were both surprised when dep said we were supposed to level off at 2000, not 3000'. our clrnc was for the canal 3 dep and we had looked up the mdw 3 dep. no tfc conflict existed, but this will surely teach me to make absolutely certain that the correct sid is being referenced and not to assume that the other plt, due to his past experience, has pulled the correct chart. i would suggest a better sys would be not to use the same number (ie, 3) on 2 deps which are so similar.",pulled wrong sid chart for mdw resulting in climbing to 3000 versus 2000'.
63,"during walk-around, first officer noticed dents in leading edge of horizontal stabilizer. one particular dent appeared to be in need of maintenance attention. maintenance [was] advised by us verbally and aircraft information recorded in acars. maintenance reviewed dents and advised all [dents] are already in the maintenance system (history) and the one brought to the attention by the first officer is not in any need of additional attention.    maintenance therefore, while present in the cockpit, stated we were set to go and a new maintenance release would be sent shortly. when we realized there could be some delay in receiving the maintenance release, we canceled the pushback, not having moved off the gate yet---so as to, not block the alleyway if there was ultimately any delay in receipt of the maintenance release.    earlier, we were told a maintenance release should be expected very soon. we were told by pushback [crew] (via interphone) that maintenance was approaching the tail of the aircraft. questioning maintenance, we were told they needed to take another look at the dents on the tail. a return to gate was prompted in acars and we told dispatch as well of the situation that we were technically back in the blocks to show as return to gate. jetway came back to aircraft after a few minutes after maintenance advised their additional assessment may take approximately half an hour. we were later told maintenance could not find the reference in the computer for the previous history of the written-up dents.",a captain was informed by a first officer about dents he found in the leading edge of their b757-200 horizontal stabilizer during a walkaround. maintenance thought the dent damage was previously recorded in their maintenance computer system.
64,"at night, following refueling, aircraft was being repositioned to hospital base. pilot smelled an odor of fuel and elected to return to the airport. following landing, pilot discovered fuel cap was not adequately secured. additional attention following refueling to ensure cap is not only in place but completely secured.","pilot of unknown type aircraft smelled fuel after takeoff, returned to airport and found fuel cap not properly secured."
65,"on approach ils runway 06. approach gave us the following instructions: \heading 090 to intercept the ils runway 06 localizer; cleared approach; maintain 2,000 ft until established; cross zzzzz fix at 1,500 ft.\ read back clearance to approach, set 1,500 ft in the altitude alerter, and stated \zzzzz at 1,500 ft\ to the copilot. previously we had briefed that zzzzz was a \mandatory\ altitude. copilot intercepted the localizer at 2,000 ft and i then became immersed in the checklist. approach handed us off to tower and during the switchover two things happened: first we got a 300 ft altitude alert followed by a ta. this was followed by tower warning us to stop climbing immediately and descend. i was stunned for a minute because i expected us to be descending when in fact; we had climbed almost 500 ft. i saw that we were at 2,500 ft before the copilot began to descend. after landing, tower advised of the deviation and gave us a phone number to call. tracon advised me of the pilot deviation. after the call to tracon, i attempted to debrief the copilot as to what exactly happened. why did we climb? why didn't we cross zzzzz at 1,500 ft, as we briefed? at first the copilot did not understand what happened and seemed mystified as to what altitude we were at when tower called. when i said we climbed to 2,500 ft, she stated she didn't think that was true and said she began a descent as soon as the tower alerted us and that \we should just file an asap.\ i was pretty upset and stated that we had messed up very badly and an asap won't keep us from being violated. the copilot became uncommunicative, and because i was steamed, i dropped the subject. with the autopilot engaged, it is impossible to climb unless some vertical mode is selected and since the copilot won't explain what thought process was happening, i cannot say for sure exactly what did happen. because the copilot was not very communicative, i can only theorize that due to inexperience/over reliance on automation/ or simply assuming that the autopilot would intercept the glide slope and fly it down to zzzzz (which doesn't help you with the mandatory 1,500 ft crossing restriction). i think that we must have had a communication failure of epic proportions between the copilot and myself. i know that the copilot either did not understand the importance of the 1,500 ft restriction at zzzzz or felt that i communicated something else. what happened is just as much my fault as the flying pilot's fault. contributing to the problem is an inexperienced copilot who didn't think to disengage the autopilot and hand fly the airplane if the automation isn't working as planned. freezing up on the controls of a jet moving at 3 miles a minute is not good. it is easy to take things like the crossing restriction for granted when a pilot has been in and out of [this airport] many times. maybe i did not emphasize it enough? the debrief with the copilot was very disappointing. perhaps i intimidated or seemingly negated something that the copilot thought was important, i don't know. what i do know, however, is that communication in the cockpit is vital and without it there cannot truly be a safe environment for flight. the copilot went silent and i can't tell why and that is a bad situation. day vmc probably lulled me into lowering my guard. i should have been more vigilant and thorough in the descent brief.","cl300 captain reported receiving an altitude alert, tcas ta, and a warning from tower controller to stop climbing after the first officer (pilot flying) inadvertently started a climb after being established on an ils approach. captain cited checklist distraction and poor flight crew communication as contributing factors."
66,"after departure, i noticed the left fuel cap was unsecured.  i returned to the airport.  i will be more diligent in physically making sure fuel caps, doors and panels are secure. ",a c402 captain returned to the departure airport after takeoff when he discovered the left fuel cap was unsecured. 
67,"[i] received gate call about a possible fastener being loose on a b737-800 aircraft at the left engine inboard pylon. i searched all gate areas for a ladder to use, but could not find a suitable one. there was a belt loader [vehicle] nearby, and in thinking i could avoid a delay searching further for a ladder i opted to use it. in my hurry to get to the fastener and to avoid a delay, i accidentally hit the nose cowl with the corner of the loader. lighting was poor in the area, and i was nearing the end of my graveyard shift and work week. suggest don't use improper equipment for job, and don't worry about delays.","while trying to avoid a departure delay because he could not find any available ladders in the gate area to reach a loose fastener on a b737-800 aircraft, a line mechanic decides to use a belt loader vehicle and accidentally strikes the engine nose cowl."
68,"after making a precautionary landing due to a burning smell in the cabin (with no passengers aboard).  i inspected the aircraft for the source of the smell, which turned out to be the air conditioner compressor bearings.  i called my supervisor of flight to see how to proceed.  i was advised that i could cut the air conditioner belt and fly back to a maintenance facility.  the next day, i was told that to disable the airconditioning system was a mel item and only a mechanic was supposed to disable the system before flying.   ",as350 pilot reported making a precautionary landing due to a burning odor in the cabin caused by air conditioning compressor.  pilot cut the drive belt on the advice of company personnel and flew to a maintenance facility where it was learned that the procedure could only be performed by a qualified mechanic and that it was an mel item.
69,"the controller declared an emergency on my behalf because i entered imc under vfr and was not able to give me a clearance because i was below the mva. i had just transitioned a class c airport's airspace southbound over the bay to land at a nearby class d airport. the class c airport was vfr. my destination had just gone ifr with bkn008. i was flying traffic watch and the previous traffic watch pilot informed us that they had just landed at my destination under special vfr. i told class c's tower that it was my intention to land at my destination under special vfr. i was surprised that the tower handed me off to approach instead of the class d tower. i learned later on the ground that they also did not tell approach of my intentions. when the approach controller gave me a vector across the class c airport's final approach, i assumed that was the reason and they would then pass me to my destinations tower. i learned on the ground that approach thought i was going to continue traffic watch southbound down the interstate. approach asked me to maintain vfr. i was watching the clouds carefully because on the assigned vector, i would be in the broken layer in a few minutes. i had my destination in sight about 5 miles away off to my left. then the controller asked me if i wanted to continue down the interstate, which surprised me, but i responded that i was going to my destination. the controller pointed out that my destination had just gone below minimums, which i knew. at that point i should have reiterated that i wanted to request special vfr at my destination. i am not sure whether i did point that out to the controller, but since i was on a vector away from my destination and the conditions were deteriorating, i instead requested the localizer approach into my destination. the controller asked me to standby and maintain vfr. i set up the instruments for the localizer approach. about a minute later i could see the approach course for my destination coming onto the gps; my vector was perpendicular to the approach. right as i crossed the approach course i told the controller that i was crossing the approach course and asked if i he was going to turn me. i thought he might have forgotten about me due to the busy class c airport's arrivals. the controller again reiterated for me to remain vfr. i said unable to maintain vfr. this is where the controller asked if i was going imc and i responded yes. being familiar with the rising terrain ahead, i said i needed to climb immediately and began a max rate climb. the controller asked if i was declaring an emergency and i responded negative, i did not feel that i had an emergency because i was instrument current, the aircraft was ifr certified and i was in control of the aircraft. the controller said he was declaring an emergency on my behalf and instructed me to climb to 4,000 ft. i got on top at 3,500 ft and notified the controller. he vectored me around for a while for the class c airport's traffic sequencing, and then cleared me for the approach [into my destination]. the rest of the flight proceeded without further incident. after the flight, i spoke with a supervisor at approach who indicated that even when on a vector, if instructed to maintain vfr, the pilot must do whatever is necessary to maintain vfr, even if that means reversing course. i did not reverse course at the time because the controller had just vectored me through the final approach course of the class c airport and i felt that if i reversed course into the class c airport's final that i would have created a serious separation problem. my error was going imc without a clearance, especially below the mva, because i learned that atc cannot issue an ifr clearance below the mva. my other error was not clarifying my intentions with the controller early enough so that they had a chance to coordinate. the fact that class c tower did not relay my intentions on to the approach controller contributed to the confusion, but in marginal vfr and busy airspace i need to leave myself and the controller more time to handle the situation. not acting sooner put the controller in a difficult situation. it also put me into a potential controlled flight into terrain situation. the instruction \maintain vfr\ must be followed, even if on an assigned vector or if it means crossing a final approach path.","vfr traffic watch aircraft encountered imc conditions after being instructed to maintain vfr, weather, higher terrain, mva minimums and atc failed coordination all playing a part in this event, resulting in an atc declared emergency."
70,"shortly after takeoff to do some practice approaches with my son/student, at about 1,000 ft agl the alternator indicated a failure and was showing a discharge. we notified atc and received vectors for the ils. we turned off all electrical equipment except number 1 com. radio, number 1 nav radio, and transponder until on 3 mile final. we attempted to reset the alternator to no avail. although we did not declare an emergency per se, we did ask for prompt handling and advised atc that we would fly a 270 heading until reaching vfr conditions in the event of total nav and comm failure. atc vectored us to final and asked if we needed any further emergency equipment. we refused. the approach commenced normally and we landed safely. in the flare just prior to touchdown, the alternator started indicating normally again. after landing and taxi in we did a little trouble shooting and found that the alternator would fail between 2,000 and 2,300 rpm on the ground during static run-up. we notified the flying clubs safety officer as well as the club's primary mechanic. we hangared the airplane, left signage in the airplane warning of the issue, and wrote up a maintenance squawk per club policy. all atc facilities did an excellent job in handling our situation.","c172 pilot experiences an alternator failure shortly after takeoff in imc and notifies atc. vectors are provided for an ils approach and a safe landing ensues. on the ground it is discovered that the alternator faults between 2,000 and 2,300 rpm and is normal at other rpm's."
71,i was operating an r44 and was picking up two friends for a trip.  there was a rain storm just south of the airport at this time and i was in a hurry to depart with my two friends to avoid the rain storm.  my friends went to get in and could not get their luggage under the seat.  i locked the controls and helped get the baggage in and left.  i understand that it was wrong to leave the controls while the helicopter was running and it was pilot error to do so.  it won't happen again.,"on the ramp with the engine running, an r44 pilot left the controls unattended to assist a passenger in stowing luggage. "
72,"upon entering rdu airspace, flying an ltt on a scheduled pax flt. we were assigned rwy 23r by the initial ctlr. final ctlr changed rwy assignment to 23l, which meant we would have to cross rwy 23r tfc to land on 23l. ctlr then called tfc at 12 o'clock to follow for a visual apch to 23l (pax lgt). at the same time tfc at 10 o'clock pos on different ctlr and for rwy 23r (an acr y pax jet) was converging on collision course. we asked about that tfc and obtained no response until after we made rapid dscnt to avoid tfc. continued to uneventful lndg. upon speaking to apch supvr he stated that the heavy tfc load and the fact that the ctlr changed rwys were the contributing factors to this incident.",close prox commuter-ltt acr-mlg.
73,"after landing on 28r i was instructed to hold short of 28l. after slowing down and turning left on taxiway f, i thought this would be an opportunity to test my newly acquired software with approach and taxi charts on my ipad. as i looked at it, it still was showing an approach chart and not the taxi diagram. i looked up and i was still some distance from the first set of yellow lines (solid first and then intermittent, so still in the area of 28r runway). i returned to try to display the taxi diagram on the ipad. i couldn't do it in a few seconds - i estimate around 3- so i looked out again. just then i realized the short distance between the runways when one taxis perpendicular to it. at this time i was already over the other set of pavement markings - solid first and then intermittent- indicating i was entering the upwind threshold of 28l. i realized that braking now would stop me in the runway itself. i thought it safer to definitely cross without braking until i was completely out of the runway, since there was a cessna on final to 28l and i would be out of the way by the time he touched down if i went through. by attempting to abruptly stop i would have stopped partially obstructing the runway itself.   my essential mistake was complacency. i am familiar with [the airport] and i thought this would be an opportunity to test a gps as an aid. but unfamiliarity with the device robbed my capacity for situational awareness and also to correctly interpret the significantly shorter time available for taxi on the less familiar perpendicular exit on f rather than on the diagonal parallel to runway 23. i should have devoted complete attention to the tasks at hand - taxiing and confirming outside references- rather than thinking that because i am familiar with the airport i can maintain situational awareness despite distractions like the new ipad.","m20 pilot, distracted by trying to call up the airport diagram on his ipad, taxied onto an active runway without clearance."
74,"i had just landed at toa from a visual approach to runway 11l. i was told to exit on taxiway hotel and contact ground. upon exiting the runway on taxiway hotel, i contacted toa ground. i requested taxi to the general aviation terminal. i was issued a taxi clearance of: \taxi via alpha, foxtrot to the terminal.\ i proceeded straight ahead on taxiway hotel to alpha, and then foxtrot to the terminal. as i was pulling into the parking space, ground control said the tower manager would like to speak to me. i took down the tower phone number, confused at what i had done wrong. when i called the tower, the supervisor stated that i should have stopped at the 'approach zone' bars for runway 11r. he said that no aircraft deviation or separation event had occurred, but that i should have stopped at the 'approach zone' and asked ground control for clearance to cross the 'approach zone.' i told the tower manager that i was given a taxi clearance ultimately to the general aviation terminal, with no 'hold short' instructions. it is my understanding of the faa aim that unless i am told to 'hold short' somewhere i am able to taxi to the final destination and cross any and all holding areas. according the aim 4-13-18 section (8), it states: \if a pilot is expected to hold short of a runway approach (apch) area or ils holding position (see fig 2-3-15, taxiways located in runway approach area), atc will issue instructions.\ and also aim 2-3-5 section (a)(3) states regarding appch zone signs: \this marking is collocated with the runway approach area holding position sign. when specifically instructed by atc, \hold short of (runway xx approach area),\ the pilot should stop so no part of the aircraft extends beyond the holding position marking.\ again, neither the tower nor ground control ever requested me to hold short of the runway 11r approach area. when i explained this to the tower supervisor over the phone, he stated to me, \that is the way we do it here,\ and \we just expect all pilot's to hold short of hold bars and request a clearance to cross.\ i think this is a real safety hazard because i feel that toa is deviating from the far/aim. every other airport i go into has never issued me a clearance to somewhere on the airfield that crosses hold bars and not say \hold short at (xx) runway or appch zone,\ if they wanted me to hold short. i assume that if i am cleared to somewhere passed those areas on the airfield, that i do not have to stop at them unless issued a clearance to stop at them.",aircraft landing at toa was questioned by atc because of his failure to stop at the \approach zone\ hold bars for runway 11r even after atc had issued instructions to the terminal.
75,"sector was extremely complex, with many acft operating via nonstandard routes and alts. acft involved in incident was being vectored for dscnt into phl. kenton low sector is always a complex sector, there are too many acft xing, dsnding, and clbing through each other. kenton low sector should be thoroughly scrutinized as per tfc flow. callback conversation with rptr revealed following info. no home phone number. called at work and rptr could not talk for long time. gave types of acft. relative pos and miss distances. computer detected error. when conflict alert activated he gave turn to corp x. ended up with 4.1 mi horiz and about 300' vert.",less than standard separation between two corp acft. operational error.
76,"aircraft x (me) was holding short runway 15 at kads on taxiway j when aircraft y elected to attempt to pass me on the single-lane taxiway a, off of which i was turned onto taxiway j.  the airplane did not have room to pass.  electing to remain holding short runway 15, i did not move forward to allow the passage of aircraft y (which would have resulted in a runway incursion generated by me).  aircraft y's decision to attempt passage on the taxiway resulted in his left wing scraping over the top of my right wing.  aircraft y was determined to be airworthy following the \paint exchange\ and departed kads, safely.  the taxiway incursion was not reported to addison tower due to extremely high volumes of critical radio communication as the airport was extremely busy at the time.    ","pa44 pilot holding short on taxiway j at ads, reports right wing tip contact with a pa34 attempting to taxi by on taxiway a."
77,"there is a black crane approximately 300-400 ft agl erected on the runway 17 centerline at 3o9 airport approximately 1,500 ft from threshold. the crane was not notam'd and did not display flag in accordance with ac 150/5370-2. evasive action in form of immediate go-around was initiated. i reported the obstruction to the flight data center, but was told no action could be taken as i was not associated with the operation of the crane or airport. 3o9 is unattended during winter months.","a c-182 pilot initiated a go-around when he encountered a 300 to 400 ft agl crane on short final to runway 17 at 3o9 (grand lake, ok) regional airport. there was no notam regarding the crane."
78,"on clbing out we were clred to 12000'. we were notified of tfc that was dsnding to 13000'. we didn't have tfc in sight. we leveled at 12000' and due to our good rate of clb we went to 12100' and immediately releveled at 12000'. we were told to call quality assurance. they said that they were sorting out an alt bust that involved us at 12300' and another acft at 12800'. our altimeter setting was correct at the time/set at spokane at tkof. the high barometer and turb of the day may have contributed to the incident. we asked that the faa chk their equipment and we are having our air data computer, altimeter and xponder chked. supplemental info from acn 100282: significant barometric pressure changes were taking place in that area due frontal passage. vmc conditions prevailed and no evasive action was required. arts iii radar data showed rptr's acft level at 13000' msl for previous portion of flt.",less than standard separation between ga-sma cpr-smt ne of geg.
79,"enrte gcm-mbj kingston center clred us to 9000'. several mins later kingston center clred us to mobar intxn and frost arr. we acknowledged \frost arr--mobar.\ having received \frost arr\ clrnc we began dscnt to 6000' as published in anticipation of mobar 3000' requirement. during dscnt to comply with frost arr dscnt restrictions, kingston center queried our alt and stated we should have maintained 9000'. we stated and went to 6000' as per frost arr proc as clred. kingston center said we were wrong to have left 9000'. apparently kingston center does not understand that frost arr clrnc constitutes not only nav info, but also published alts \unless otherwise instructed.\ kingston issued no such instructions. the whole affair is a frequent happening enrte to mbj (so say the lcls!). a misunderstanding of atc standard proc at kingston.",acr mlg alt deviation non adherence to atc clrnc.
80,"we were deiced at the gate and had a short taxi to runway 28l at pdx airport.  shortly after gear retraction the left engine began to have compressor stalls.  the throttle was retarded and the stalls stopped.  the first officer and i discussed our options and possibilities.  i informed atc that we were returning to the field and declared an emergency.  i requested arff to be standing by.  i briefed the flight attendants about our situation and made a pa to the passengers informing them we were returning to pdx due to an engine problem.  the first officer and i briefed the approach and decided to use flaps 28 in case of an engine failure.  after completing checklists, we landed overweight.  the landing was smooth and i shut down the left engine after stopping on the runway.  i elected to remain on the runway until we were inspected by arff.  after we were advised of no fire or visible damage, we taxied to the gate and deplaned without further incident.   ",an md80 experienced compressor stalls from the left engine after gear retraction.  the flight crew elected to declare an emergency and return to their departure airport.
81,"flying a stc modified cessna 182 containing an added sensor ball for ir, e0, etc. modification included upgraded engine, large alternator. mission electrical load can be as high as 100 amps. approximately 15 minutes after takeoff, an electrical surge of unknown origin caused alternator field failure and rapid battery drain. [i] first noticed fm communications radio failure, video microwave downlink failure, vhf am comm two failure, glass panel failure and comm one failure. [i] attempted blind transmission of nordo status (one local aircraft heard transmission); transponder to 7600. then [i had] internal light failure enroute airport (five miles away); transponder to 7700. [i] received green light from tower. landed uneventfully and turned off runway and shutdown to await fire department response. no smoke or fire noted. aircraft towed to ramp hanger and turned over to maintenance.",a specially equipped c182 during military mission support had alternator failure resulting in the loss of all radios and other equipment so the pilot diverted to a nearby airport after squawking 7600 and 7700 for a green light landing.
